Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1982,11,26.86,12.16,3.1,0.2,0.69,0.2,FALSE
1982,12,21.9,5.07,9.3,0.2,0.59,0.5,FALSE
1983,1,20.59,4.6,3.8,0.2,1.02,0.2,FALSE
1983,2,22.5,7.59,12.9,0.2,0.83,0.6,FALSE
1983,3,27.46,11.82,4.1,0.2,1.26,0.2,FALSE
1983,4,31.73,16.48,18.1,0.2,1.55,0.9,FALSE
1983,5,39.36,23.22,17.2,0.2,2.09,0.9,FALSE
1983,6,40.61,26.82,4.3,0.2,2.05,0.2,FALSE
1983,7,39.04,26.98,66.6,0.2,1.48,3.3,FALSE
1983,8,36.92,26.27,77.7,0.2,1.24,3.9,FALSE
1983,9,37.15,24.39,12.2,0.2,0.94,0.6,FALSE
1983,10,33.94,17.57,1.9,0.2,0.97,0.1,FALSE
1983,11,29.35,9.45,0,0.2,0.75,0,FALSE
1983,12,22.04,5.4,2.5,0.2,0.49,0.1,FALSE
1984,1,19.57,3.87,2.1,0.2,0.83,0.1,FALSE
1984,2,21.62,5.67,5.5,0.2,1.13,0.3,FALSE
1984,3,32.49,14.82,5.9,0.2,1.31,0.3,FALSE
1984,4,36.27,19.48,6.6,0.2,2.03,0.3,FALSE
1984,5,43.09,25.22,0,0.2,2.29,0,FALSE
1984,6,42.31,28.38,7,0.2,2.64,0.4,FALSE
1984,7,38.26,26.89,26.7,0.2,2.08,1.3,FALSE
1984,8,37.71,25.72,64.8,0.2,1.52,3.2,FALSE
1984,9,35.91,22.62,19.8,0.2,0.93,1,FALSE
1984,10,34.24,15.83,0,0.2,1.06,0,FALSE
1984,11,29.4,9.7,0.1,0.2,0.68,0,FALSE
1984,12,22.76,4.79,5.9,0.2,0.64,0.3,FALSE
1985,1,20.91,4.92,2,0.1,0.82,0.1,FALSE
